thewords,thewords,Freq
那些,those,14
逆转,reverse,14
其他,other,14
杀人,kill,14
身边,side,14
实验,The experiment,14
同样,The same,14
完全,completely,14
下去,Go down,14
项目,project,14
至少,"At least,",14
打斗,"Fighting,",13
几个,A few,13
老人,The old man,13
名字,The name,13
能够,To be able to,13
其中,Among them,13
起来,up,13
强大,strong,13
情感,emotional,13
然后,then,13
人类,human,13
任何,any,13
殊死,deadly,13
死亡,death,13
天启,The apocalypse,13
痛苦,pain,13
一段,A period of,13
由于,Due to the,13
原野,The wild,13
找到,find,13
拯救,save,13
蜘蛛,The spider,13
版本,version,12
表演,performance,12
残疾人,People with disabilities,12
动作,action,12
而言,In terms of,12
感受,feeling,12
孤独,lonely,12
经典,classic,12
来到,Came to,12
两个,two,12
内心,inner,12
你们,you,12
普通人,Ordinary people,12
骑士,The knight,12
上映,release,12
身上,body,12
实在,really,12
使用,use,12
死去,die,12
逃亡,escape,12
牺牲,sacrifice,12
一刻,moment,12
一路,All the way,12
依然,still,12
以上,The above,12
影迷,The fans,12
遇到,encounter,12
之间,between,12
暴力,violence,11
并且,and,11
不断,constantly,11
场面,scene,11
大多数,Most of the,11
带来,bring,11
敌人,The enemy,11
改变,change,11
公路,highway,11
关于,about,11
回忆,memories,11
基本,basic,11
讲述,about,11
竟然,actually,11
类似,similar,11
利用,using,11
墨西哥,Mexico,11
片段,fragment,11
杀戮,killing,11
设定,set,11
西部片,western,11
细节,details,11
现实,reality,11
相信,believe,11
想到,The thought of,11
血腥,bloody,11
英雄主义,heroism,11
原来,The original,11
这里,"Here,",11
子弹,The bullet,11
自我,Self -,11
本身,itself,10
财富,wealth,10
产生,produce,10
充满,Full of,10
打算,Intend to,10
等等,", etc.",10
第一次,"For the first time,",10
多么,how,10
多少,How many,10
儿子,son,10
个人,personal,10
各种,A variety of,10
根本,The fundamental,10
好莱坞,Hollywood,10
或许,perhaps,10
结束,The end of the,10
蝰蛇,viper,10
暮年,twilight,10
那样,as,10
内容,content,10
人生,life,10
认为,think,10
十分,very,10
似乎,Seems to be,10
素食,A vegetarian diet,10
塑造,shape,10
他人,others,10
完美,perfect,10
晚上,In the evening,10
消失,disappear,10
小孩,The child,10
形象,image,10
也许,maybe,10
一般,general,10
一家,a,10
一句,A word of,10
一天,One day,10
长城,The Great Wall,10
爪子,claws,10
真的,really,10
终结,Put an end to,10
主义,socialist,10
组织,organization,10
24,24,9
爸爸,dad,9
背景,background,9
比如,Such as,9
编剧,The writers,9
博士,Dr.,9
程度,The degree of,9
大战,war,9
更加,more,9
过去,In the past,9
好看,nice,9
画面,The picture,9
幻影,The phantom,9
家庭,family,9
简单,simple,9
进行,for,9
经过,after,9
精神,The spirit of,9
老年,The elderly,9
里面,inside,9
每天,"Every day,",9
票房,Box office,9
日本,Japan,9
伤害,damage,9
受到,by,9
体内,In the body,9
通过,through,9
突然,All of a sudden,9
心理,psychological,9
研究,research,9
以前,before,9
因此,so,9
影响,impact,9
原因,why,9
正常,normal,9
正义,justice,9
制作,making,9
重要,important,9
主角,The protagonist,9
14分钟,14 minutes,8
IMDB,IMDB,8
扮演,play,8
爆发,The outbreak of,8
本来,originally,8
比较,To compare,8
表示,said,8
不要,Don't,8
残酷,cruel,8
场景,scenario,8
除了,In addition to,8
从此,From now on,8
大脑,The brain,8
代表,On behalf of,8
地球,The earth,8
电影节,The festival,8
疯狂,crazy,8
复仇,revenge,8
复活,The resurrection,8
感情,feelings,8
工作,work,8
关系,Relationship between,8
国内,domestic,8
黑白,Black and white,8
忽略,ignore,8
护士,The nurse,8
回来,Come back,8
机会,The opportunity to,8
计划,plan,8
价值,The value of,8
见到,see,8
结果,The results of,8
解释,explain,8
就是,is,8
可是,but,8
历史,history,8
两部,two,8
美好,good,8
那里,there,8
努力,Efforts to,8
轻松,easily,8
情况,situation,8
去世,death,8
全部,all,8
群体,group,8
人们,people,8
如今,now,8
饰演,Play the role of,8
司机,The driver,8
提到,mentioned,8
提供,provide,8
下来,down,8
现场,The scene,8
一生,life,8
一条,a,8
一位,a,8
依旧,still,8
以后,after,8
以至于,So much so that,8
译名,translation,8
意义,meaning,8
因子,factor,8
银幕,screen,8
有人,someone,8
这次,"This time,",8
只能,only,8
值得,worth,8
重新,again,8
状态,state,8
足够,enough,8
17年,"17 years,",7
变异,variation,7
表现,performance,7
不可,Do not,7
彻底,thoroughly,7
沉闷,dull,7
出于,for,7
单纯,pure,7
登场,Come on stage,7
父母,parents,7
改编,adaptation,7
改造,transform,7
感到,feel,7
好像,As if,7
欢迎,welcome,7
即便,Even if the,7
剑齿虎,Saber-toothed tiger,7
交代,replacement,7
今天,"Today,",7
金属,metal,7
就算,Even if the,7
巨人,The giant,7
剧本,The script,7
决定,decision,7
看看,Take a look at,7
肯定,sure,7
了解,To understand,7
理由,reason,7
另外,In addition,7
轮椅,The wheelchair,7
每个,each,7
明显,obvious,7
目前,At present,7
那种,That kind of,7
女孩,The girl,7
评价,evaluation,7
评论,comments,7
缺陷,defects,7
然而,"However,",7
任务,task,7
三个,three,7
杀手,killer,7
伸出,Stretched out,7
身份,identity,7
失落,lost,7
始终,always,7
是否,Whether or not,7
首映,The premiere,7
衰老,aging,7
所谓,The so-called,7
唯一,The only,7
温情,warmth,7
文艺,Literature and art,7
文章,The article,7
无论,No matter,7
昔日,The former,7
想法,idea,7
谢幕,Curtain call,7
眼睛,eyes,7
眼中,In the eyes,7
一把,A pair of,7
一本,A copy of the,7
一步,step,7
一只,a,7
音乐,music,7
印象,impression,7
影评,Film critics,7
照顾,Take care of,7
之外,outside,7
主要,The main,7
注定,Destined to,7
赚钱,To make money,7
18年,18 years,6
2029年,"In 2029,",6
DC,直流,6
MAN,男人,6
柏林,Berlin,6
包括,including,6
爆米花,popcorn,6
笔者,The author,6
必须,Must be,6
差点,almost,6
超人,superman,6
车子,The car,6
成长,growth,6
承受,bear,6
惩罚,punishment,6
此时,At this time,6
从来,never,6
大概,probably,6
大量,A lot of,6
诞生,The birth of,6
当时,At that time,6
导致,Lead to,6
到底,what,6
得到,get,6
电影院,The cinema,6
多年,"For many years,",6
方式,way,6
父女,Father and daughter,6
父子,Father and son,6
感动,Moved by the,6
过程,process,6
毫无,There is no,6
核心,The core,6
黑人,black,6
后面,Behind the,6
辉煌,brilliant,6
获得,To obtain,6
机器,The machine,6
基地,base,6
极其,extremely,6
既然,since,6
加拿大,Canada,6
骄傲,pride,6
居然,incredibly,6
绝望,despair,6
看见,see,6
可惜,It's a pity that,6
力量,power,6
留下,leave,6
满足,meet,6
慢慢,slowly,6
描述,describe,6
男人,A man,6
难道,Don't,6
内地,The mainland,6
培养,To cultivate,6
桥段,welcome,6
去年,"Last year,",6
确实,indeed,6
人格,personality,6
日子,days,6
上帝,god,6
生化,biochemical,6
失望,disappointed,6
实验室,laboratory,6
视频,video,6
弑父,kill,6
手机,Mobile phone,6
属于,Belong to,6
双手,With both hands,6
说明,instructions,6
它们,they,6
台词,lines,6
套路,routine,6
特写,A close-up,6
危机,The crisis,6
危险,dangerous,6
微信,WeChat,6
文化,culture,6
武士,The samurai,6
想象,imagine,6
小伙伴,The junior,6
压抑,depressed,6
养老,Provide for the aged,6
一名,a,6
以下,The following,6
英文,English,6
影院,cinema,6
于是,so,6
早已,already,6
展示,show,6
战胜,To overcome,6
整部,The whole,6
制造,manufacturing,6
主题,The theme,6
注入,injection,6
TA,助教,5
安排,arrange,5
保持,keep,5
悲壮,tragic,5
标签,The label,5
不错,good,5
不少,A lot of,5
不知,I don't know,5
猜测,guess,5
参加,To participate in,5
残暴,brutal,5
苍老,old,5
呈现,present,5
垂暮,:,5
纯真,pure,5
存在,There are,5
打败,beat,5
大片,large,5
担心,To worry about,5
第三部,The third part,5
第一,The first,5
定义,define,5
独立,independent,5
对抗,against,5
对象,object,5
反而,"Instead,",5
方面,In terms of,5
分别,", respectively,",5
辐射,radiation,5
钢铁,Iron and steel,5
根据,According to the,5
公众,The public,5
姑娘,The girl,5
故意,deliberately,5
雇佣,hire,5
观感,Look and feel,5
观看,watch,5
官方,The official,5
国家,countries,5
好评,High praise,5
话语,discourse,5
坏人,The bad guys,5
回复,reply,5
机械,mechanical,5
肌肉,muscle,5
极为,very,5
几年,A few years,5
记得,remember,5
继承,inheritance,5
加入,join,5
加上,add,5
简直,it,5
建立,To establish,5
僵尸,zombies,5
尽管,although,5
巨大,huge,5
绝对,absolute,5
崛起,The rise of,5
科学家,scientists,5
咳嗽,cough,5
可怕,terrible,5
狂暴,violent,5
两位,The two,5
路人,passers-by,5
每次,Every time,5
命运,fate,5
目的,purpose,5
幕后,Behind the scenes,5
那场,the,5
那天,On that day,5
帕特里克,Patrick,5
平静,calm,5
凄惨,sad,5
契约,contract,5
情绪,mood,5
全球,The global,5
人性,The human nature,5
忍受,Put up with,5
仍然,still,5
深刻,deep,5
神秘,mysterious,5
剩下,The remaining,5
尸体,The body,5
世间,In the world,5
事实,The facts,5
首先,"First of all,",5
首映式,premiere,5
瞬间,In an instant,5
提醒,remind,5
体现,reflect,5
屠杀,slaughter,5
完成,complete,5
温柔,gentle,5
无力,Unable to,5
五十年,Fifty years,5
午夜,The middle of the night,5
西部,In the west,5
想起,Think of,5
小时,hours,5
心中,In the heart,5
幸运,lucky,5
性格,character,5
学校,The school,5
也好,It is better to,5
一代,A generation,5
一颗,a,5
一幕,scene,5
一年,A year,5
一丝,a,5
伊甸园,The garden of Eden,5
以往,In the past,5
意气风发,perky,5
意味着,means,5
有的,some,5
愿望,wish,5
战争,The war,5
之类,Such as,5
之一,One of the,5
只不过,only,5
只要,As long as,5
职业,professional,5
致敬,Pay tribute to,5
主流,The mainstream,5
主演,starring,5
著名,famous,5
准备,To prepare,5
自然,natural,5
自由,free,5
总是,always,5
最初,The initial,5
尊重,respect,5
10,10,4
2000年,"In 2000,",4
保留,keep,4
报告,The report,4
暴风,The storm,4
悲剧,tragedy,4
背负,bear,4
边缘化,marginalized,4
表达,express,4
病毒,The virus,4
不得不,Have to,4
不够,Not enough,4
不管,No matter,4
不堪,so,4
不幸,"Unfortunately,",4
不已,unceasingly,4
不在乎,Don't care,4
不止,There is more than,4
采访,interview,4
差不多,almost,4
尝试,try,4
成员,Members of the,4
吃饭,Have a meal,4
仇恨,hatred,4
出演,in,4
触动,touch,4
传统,traditional,4
创作,creation,4
猝不及防,Off guard,4
打动,impress,4
打工,working,4
的话,if,4
电话,The phone,4
动物,animal,4
对待,treat,4
对手,rival,4
而已,"""",4
放出,release,4
讽刺,irony,4
凤凰,phoenix,4
感应,induction,4
刚刚,just,4
歌曲,song,4
给予,To give,4
工具,tool,4
攻击,attack,4
关键,The key,4
广电,"Radio, film and television",4
行动,action,4
好好,Have a good,4
后者,The latter,4
缓慢,slow,4
幻想,fantasy,4
荒野,The wilderness,4
恢复,restore,4
回答,answer,4
回归,Return to the,4
混乱,chaos,4
货物,The goods,4
极端,extreme,4
记者,The reporter,4
技能,skills,4
家园,home,4
坚持,Adhere to the,4
艰难,hard,4
见证,witness,4
接近,Close to the,4
解决,To solve,4
借口,excuse,4
紧身衣,tights,4
进入,Enter the,4
惊讶,surprised,4
精彩,wonderful,4
酒店,The hotel,4
开车,Driving a car,4
看似,seemingly,4
渴望,Eager to,4
刻意,deliberately,4
客人,The guest,4
恐惧,fear,4
口中,In the mouth,4
困境,trouble,4
理解,understand,4
理想,ideal,4
灵魂,The soul,4
露点,Dew point,4
妈妈,mother,4
没什么,There's nothing,4
勉强,reluctantly,4
面对,In the face of,4
面临,facing,4
明白,understand,4
某些,Some of the,4
母亲,mother,4
墓碑,tombstone,4
难得,A rare,4
难以,It is difficult to,4
年老,Old age,4
年迈,elderly,4
农场,The farm,4
农夫,The farmer,4
女人,A woman,4
陪伴,company,4
平淡,flat,4
平行,parallel,4
铺垫,matting,4
妻子,"His wife,",4
汽车,The car,4
前者,The former,4
强烈,strong,4
亲情,affection,4
区别,The difference between,4
饶恕,forgive,4
认可,recognition,4
认识,know,4
容易,easy,4
如同,as,4
睿智,wise,4
三代,The three generations of,4
丧失,The loss of,4
善良,good,4
伤口,The wound,4
商业,business,4
少年,The young,4
少女,girl,4
社会,social,4
失败,failure,4
失控,Out of control,4
十七年,Seventeen years,4
时光,time,4
时刻,moment,4
矢志,to,4
使得,make,4
世上,In the world,4
世俗,The secular,4
势力,The forces,4
适应,To adapt to,4
逝去,lost,4
双眼,His eyes,4
说话,To speak,4
思想,thought,4
随后,then,4
随着,As the,4
特点,The characteristics of,4
特工,agents,4
听到,hear,4
推荐,recommended,4
拖沓,procrastination,4
完整,complete,4
晚年,In his later years,4
为何,why,4
维持,maintain,4
伟大,great,4
无奈,The helpless,4
无声,silent,4
无数次,Countless times,4
吸收,absorption,4
习惯,habit,4
下达,issued,4
限制,limit,4
相关,related,4
相同,The same,4
相依为命,Lived alone,4
享受,enjoy,4
小淘气,rogue,4
效果,The effect,4
心底,The bottom of my heart,4
心目,',4
欣赏,appreciate,4
兄弟,brother,4
许多,many,4
宣传,propaganda,4
学生,students,4
严重,serious,4
衍生,derivative,4
眼泪,tears,4
厌倦,Tired of,4
阳光,The sun,4
样子,Looks like,4
要求,requirements,4
野兽,The beast,4
一半,half,4
一件,a,4
一辆,A car,4
一面,One side,4
一片,A piece of,4
一瓶,A bottle of,4
一张,A piece of,4
意识,consciousness,4
营销,marketing,4
影射,reference,4
勇气,The courage to,4
优秀,good,4
尤其,especially,4
有关,The relevant,4
有趣,interesting,4
有着,with,4
愿意,Willing to,4
越来越,More and more,4
在于,Is that,4
糟糕,bad,4
早就,early,4
怎样,How to,4
战斗力,Combat effectiveness,4
长大,Grow up,4
折磨,torture,4
真理,truth,4
正式,A formal,4
政府,The government,4
政治,political,4
挣扎,struggle,4
之下,under,4
支撑,support,4
只是,just,4
只有,only,4
直至,Until the,4
至于,As for the,4
致命,deadly,4
智商,Intelligence quotient (IQ),4
中文,Chinese,4
逐日,Day by day,4
主创,creator,4
主观,subjective,4
宗教,religious,4
诅咒,curse,4
1953年,"In 1953,",3
20,20,3
5分,5 points,3
9分,Nine points,3
爱情,love,3
霸气,The forward,3
摆脱,Get rid of,3
斑马,A zebra,3
版权,copyright,3
办法,Way to,3
伴随,Along with,3
报复,revenge,3
悲惨,The sad,3
本名,name,3
本体,ontology,3
本性,The nature of,3
毕业,graduation,3
避难,asylum,3
变故,misfortune,3
变态,Abnormal condition,3
搏斗,fight,3
不仅,Not only,3
不然,"Otherwise,",3
不如,Not as good as,3
不许,Not allowed to,3
不用,Don't have to,3
参考,reference,3
藏身,hiding,3
超越,beyond,3
车上,The car,3
城市,city,3
痴呆,dementia,3
尺度,scale,3
崇尚,advocating,3
酬金,remuneration,3
出生,born,3
出手,to,3
处理,To deal with,3
传承,inheritance,3
传递,pass,3
传奇,legend,3
垂垂老矣,grown,3
纯粹,pure,3
此后,Since then,3
刺激,stimulus,3
从不,never,3
从头到尾,From the beginning to the end,3
从中,from,3
错误,error,3
答案,The answer,3
打击,blow,3
打造,build,3
大地,The earth,3
大陆,mainland,3
大叔,uncle,3
大学,The university of,3
殆尽,out,3
当做,As a,3
道德,moral,3
得知,Learned that,3
地步,point,3
第一部,The first part,3
典型,A typical,3
毒液,venom,3
独一无二,unique,3
度过,through,3
度日,To live,3
对白,The dialogue,3
对比,contrast,3
躲避,To avoid,3
恶心,nausea,3
儿女,Sons and daughters,3
儿童,children,3
二代,The second generation,3
发布,release,3
发布会,conference,3
发行,issue,3
发挥,play,3
发作,The onset of,3
反应,reaction,3
仿佛,As if,3
放松,relax,3
放在,On the,3
放走,Let go,3
飞机,The plane,3
分析,Analysis of the,3
风光,scenery,3
锋利,sharp,3
负责,To be responsible for the,3
富豪,rich,3
该片,The film,3
尴尬,embarrassed,3
赶路,The road,3
感慨,Sigh with emotion,3
歌词,The lyrics,3
各类,All kinds of,3
跟前,front,3
更为,more,3
估计,estimated,3
关注,Focus on,3
光头,bald,3
归宿,Home to return to,3
闺女,The girl,3
国外,foreign,3
过来,To come over,3
过于,too,3
还要,also,3
害怕,Afraid of,3
行为,behavior,3
毫不,no,3
毫不犹豫,Without hesitation,3
和平,peace,3
胡子,beard,3
怀疑,doubt,3
环境,The environment,3
唤起,evoke,3
回到,Go back to,3
毁灭,The destruction of,3
活捉,To capture,3
击退,To fend off,3
机器人,The robot,3
积累,The accumulation of,3
激动,excited,3
激烈,fierce,3
极大,great,3
疾病,disease,3
记忆,memory,3
佳作,Excellent work,3
家人,family,3
坚守,To stick to,3
剪辑,clip,3
建议,advice,3
渐渐,gradually,3
交给,to,3
交易,trading,3
觉着,think,3
结合,In combination with,3
结婚,To get married,3
今年,"This year,",3
金钱,money,3
仅仅,only,3
纠结,tangle,3
酒吧,The bar,3
酒馆,The pub,3
拒绝,Refused to,3
决心,Determined to,3
决战,Decisive battle,3
绝不,By no means,3
开端,start,3
开枪,shoot,3
开心,happy,3
看出,see,3
看来,It seems,3
考虑,consider,3
刻画,characterization,3
口碑,Word of mouth,3
快速,fast,3
狂躁,manic,3
困难,difficult,3
垃圾,The garbage,3
来源,source,3
老师,The teacher,3
老头,The old man,3
老爷,Sir,3
离开,leave,3
离去,leave,3
里边,The inside,3
两颗,Two stars,3
聊聊,Have a chat,3
潦倒,Down and out,3
灵感,inspiration,3
流浪,The stray,3
六只,six,3
露出,show,3
沦为,Reduced to a,3
逻辑,logic,3
麻烦,trouble,3
满意,Satisfied with the,3
矛盾,contradiction,3
名叫,named,3
明确,clear,3
命令,The command,3
某种,some,3
哪里,where,3
男生,The boy,3
难受,uncomfortable,3
脑海,mind,3
内部,internal,3
内核,The kernel,3
年龄,age,3
年轻人,The young man,3
宁愿,Would rather,3
牛仔,The cowboy,3
农场主,The farmer,3
怒气,anger,3
派出,sent,3
培育,To cultivate,3
批评,criticism,3
平凡,ordinary,3
凭借,with,3
其它,other,3
启发,Inspired by the,3
起源,The origin of,3
气体,gas,3
前来,To come to,3
枪声,gunfire,3
青春,youth,3
青年,youth,3
轻易,easily,3
倾向,Tendency to,3
权力,power,3
权利,right,3
全程,The entire,3
全片,film,3
全身,The whole body,3
诠释,interpretation,3
染色体,chromosome,3
热血,The blood,3
人间,human,3
日报,Daily.,3
如出一辙,In much the same way as,3
三本,The three,3
三部,The three,3
三任,three,3
山谷,The valley,3
删除,delete,3
伤疤,scar,3
上去,Go up,3
舍得,Willing to part with or use,3
设计,design,3
深深,deeply,3
神经,nerve,3
神奇,magic,3
生锈,rust,3
声音,voice,3
失明,blind,3
十字,cross,3
世纪,century,3
事件,The event,3
试图,Trying to,3
视觉,visual,3
手里,In his hand,3
手上,On the hand,3
守望,watchman,3
首次,For the first time,3
抒情,lyric,3
双脚,Your feet,3
水军,Water army,3
顺便,"By the way,",3
逃跑,escape,3
逃脱,escape,3
讨厌,hate,3
提出,Put forward,3
提起,filed,3
提前,"In advance,",3
体验,experience,3
体重,weight,3
天堂,heaven,3
同学,My classmates,3
偷偷,secretly,3
透露,According to,3
土地,land,3
团队,team,3
退出,exit,3
退化,The degradation of,3
吞没,engulfed,3
外界,The outside world,3
完结,The end,3
威胁,threat,3
温馨,sweet,3
无数,countless,3
五年,Five years,3
吸引,To attract,3
袭击,attack,3
下场,fate,3
下面,The following,3
先生,Mr.,3
陷入,In a,3
相当,Quite a,3
相对,The relative,3
详细,detailed,3
想想,Think about the,3
消息,The message,3
小孩子,A child,3
邪恶,evil,3
心灵,The mind,3
心脏,The heart,3
信息,information,3
信仰,faith,3
星球,planet,3
形式,In the form of,3
幸好,"Fortunately,",3
修复,repair,3
宿敌,Nemesis,3
虚弱,weak,3
酗酒,Alcohol abuse,3
续集,The sequel,3
学习,learning,3
学院,college,3
血清,serum,3
训练,training,3
严格,strict,3
眼球,eye,3
演绎,deductive,3
邀请,The invitation,3
夜晚,night,3
一帮,A group of,3
一度,At one point,3
一对,A pair of,3
一份,a,3
一个个,One by one,3
一口,A bite of,3
一匹,A horse,3
一身,A suit of,3
一时,At the moment,3
一手,In one hand,3
一项,a,3
一站,A station,3
异端,heresy,3
抑郁,depression,3
阴暗,dark,3
阴谋,plot,3
影子,The shadow,3
游艇,The yacht,3
有意,intentionally,3
娱乐,entertainment,3
原名,Formerly known as,3
原委,why,3
远远,far,3
杂志,The magazine,3
再次,"Once again,",3
再也,No longer,3
在乎,Care about,3
葬礼,funeral,3
遭到,by,3
早上,In the morning,3
造成,cause,3
这时,At this moment,3
珍惜,cherish,3
真诚,sincere,3
真是,It's,3
真相,The truth,3
真心,sincerely,3
整体,As a whole,3
正当,Just as,3
正是,It is,3
正在,is,3
挣钱,To earn money,3
之际,as,3
知名,well-known,3
执行,perform,3
侄女,niece,3
制服,uniform,3
制片人,The producer,3
治愈,cure,3
中老年,Middle-aged and old,3
终极,The ultimate,3
逐渐,gradually,3
主人公,The protagonist,3
注射,The injection,3
专门,special,3
壮心,hero,3
追捕,chase,3
追求,The pursuit of,3
追踪,tracking,3
准确,accurate,3
咨询,consulting,3
资格,The qualification,3
自古,Since ancient times,3
自身,Their own,3
总数,The total number of,3
最近,"Recently,",3
尊严,dignity,3
作用,role,3
作者,The author,3
做出,To make a,3
7,7,2
10分,10 points,2
12,12,2
15分钟,15 minutes,2
1953,1953,2
1994年,"In 1994,",2
1999年,"In 1999,",2
2012年,"In 2012,",2
2013年,"In 2013,",2
2017年,"In 2017,",2
3月,march,2
4点,4 p.m.,2
6分,6 points,2
8分,Eight points,2
8月,In August,2
MCU,单片机,2
NYX,尼克斯,2
TM,TM,2
埃塞,Essa?,2
安慰,comfort,2
安息,Rest in peace,2
暗示,suggested,2
肮脏,dirty,2
奥斯卡,Oscar,2
奥运,The Olympic Games,2
巴比伦,The king of Babylon,2
白化病,albino,2
半个,Half a,2
绑架,kidnapping,2
保障,security,2
暴躁,grumpy,2
爆出,when,2
卑微,The humble,2
悲哀,sad,2
悲歌,elegy,2
悲伤,sad,2
悲痛,grief,2
北美,In North America,2
被迫,Forced to,2
奔走,To run,2
本该,Should have been,2
本人,I am,2
本文,"In this paper,",2
本质,nature,2
鄙视,despise,2
必要,necessary,2
边境,The border,2
变为,into,2
便利,convenient,2
兵器,weapon,2
并非,Is not,2
病痛,pain,2
玻璃,glass,2
不必,Don't have to,2
不得已,Forced to,2
不犯,Don't make,2
不行,no,2
不仅仅,Not only,2
不列颠,The British,2
不论,No matter,2
不论是,Whether it is,2
不怕,Not afraid of,2
不说,Don't say,2
不算,not,2
不息,through,2
菜单,The menu,2
餐厅,The restaurant,2
惨剧,tragedy,2
仓库,warehouse,2
苍凉,desolate,2
沧桑,Vicissitudes of life,2
孱弱,A weak,2
产物,product,2
常人,Ordinary people,2
常态,normal,2
唱反调,naysayers,2
超出,beyond,2
嘲讽,sarcasm,2
车厢,The carriage,2
沉默寡言,silence,2
沉重,heavy,2
称得上,Claim to be,2
成立,Set up,2
成片,slices,2
乘客,passengers,2
持续,continuous,2
冲突,conflict,2
充当,Act as a,2
充足,sufficient,2
崇高,noble,2
出场,appearance,2
出门,Out of the door,2
出品,',2
出山,The shape of,2
出席,To attend the,2
初版,).,2
除此之外,In addition to,2
处于,In a,2
穿行,through,2
穿越,through,2
传达,convey,2
传开,spread,2
创办,founded,2
吹捧,tout,2
此事,The matter,2
此外,In addition,2
刺杀,The assassination of,2
匆匆,In a hurry,2
从而,thus,2
从未,never,2
从小,Since the childhood,2
粗暴,rough,2
促进,To promote,2
搭档,partner,2
达到,To achieve,2
打分,score,2
大部分,Most of the,2
大街,The street,2
大厦,building,2
代价,The price,2
代替,Instead of,2
带有,with,2
单独,A separate,2
单位,unit,2
单向,A one-way,2
当成,As a,2
导师,mentor,2
倒卖,To resell,2
到处,everywhere,2
到位,In place,2
道具,The props,2
德克萨斯,Texas,2
等待,Waiting for the,2
等候,Waiting for the,2
第23号,No. 23,2
第二,The second,2
第二部,The second part,2
第二个,The second,2
点儿,A little bit,2
点子,ideas,2
电器,Electrical appliances,2
电视剧,TV series,2
电影票,The movie tickets,2
跌跌撞撞,stumbled,2
东海,The east China sea,2
动容,"Affecting,",2
毒药,poison,2
短片,Short film,2
短评,essay,2
对了,For the,2
盾牌,The shield,2
多次,Many times,2
多一点,A little more,2
多种,A variety of,2
恶霸,A bully,2
恶棍,villain,2
恶意,malicious,2
噩梦,The nightmare,2
发表,published,2
发出,a,2
发动,a,2
发家,fortune,2
发展,The development of,2
发自,From the,2
伐木,logging,2
翻版,A replica,2
翻译,translation,2
反复,Over and over again,2
反响,response,2
方法,methods,2
放弃,To give up,2
放心,Rest assured,2
放映,screening,2
废弃,abandoned,2
沸腾,boiling,2
分裂,split,2
氛围,atmosphere,2
奋斗,struggle,2
丰富,rich,2
风暴,The storm,2
风烛残年,A sick,2
疯子,The madman,2
夫妇,The couple,2
伏击,ambush,2
服从,obey,2
服装,clothing,2
浮现,emerging,2
复制,copy,2
概括,summary,2
概念,concept,2
赶紧,hurriedly,2
赶来,come,2
赶走,Get rid of,2
感冒,Catch a cold,2
感人,touching,2
感叹,sigh,2
感想,feeling,2
钢筋,reinforced,2
高潮,orgasm,2
高大,tall,2
哥伦比亚,Colombia,2
歌手,singer,2
个性,personality,2
跟踪,tracking,2
工厂,The factory,2
公交,The bus,2
公务员,Civil servants,2
共同,common,2
沟通,communication,2
购买,buy,2
骨骼,bone,2
固定,fixed,2
怪兽,monster,2
管理,management,2
贯穿,through,2
光明正大,Above board,2
归来,return,2
归属,attribution,2
跪倒,His knees,2
国民,The national,2
过往,past,2
哈哈哈,"Ha, ha, ha",2
孩儿,child,2
海上,The sea,2
含泪,A tearful,2
寒风,The cold wind,2
行径,ACTS,2
行人,pedestrians,2
行业,industry,2
好歹,somehow,2
好多,A lot of,2
好友,friends,2
喝酒,drinking,2
何尝,Did it ever,2
